trial,environment_seed,sensor_seed,sensor_scenario,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
10,3616197823,2935630276,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.24678967470651889,67.10000000000001,13.749621237465703,13.945598126491204,0.052392740629155256,0.33049750337269757,0.061201897251846105,0.02648628474063525,0.08550661177811165,0.03325220851141535,0.045228236774434584,0.3054278421956222,0.05752176461493913,0.06979181485593491,0.0,5.352135283894041,5.352135283894041,0.0,8.042596764165276e-17,1.7772239894833365e-16,0.32346316692911475,0.32346316692911475,0.0,67.10000000000001,0.0,0.0,0.0,0.0,67.10000000000001,0.0,0.0,0.0,0.0,False,False,False
11,1745707571,4237896947,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.17977377708819986,66.9,13.557903653720178,13.702275071364856,0.05184891867213465,0.1653263737545184,0.058107956942104695,0.03569276549806078,0.1249430720483745,0.04518823213708785,0.04762780355599459,0.19446954541722683,0.058771826559870885,0.1449901128374853,0.13244621760493633,5.299924093854108,5.299924093854108,0.0,8.461063280396698e-17,1.962615573354719e-16,0.3410203997284663,0.34102039972846626,0.0,66.9,0.0,0.0,0.0,0.0,66.4,0.5,0.0,0.0,0.0,False,False,False
12,2210454256,3908414215,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2354489605288086,84.80000000000001,16.892654550041673,16.982903186201767,0.05192160477893241,0.15352686074473848,0.05863450746617508,0.02930307897657368,0.09309362676934572,0.03635155083241305,0.04491355553398034,0.17162066555417899,0.05602352444659645,0.10260012158113586,0.06632680210517009,6.643226453390681,6.643226453390682,0.0,8.213078484155037e-17,2.779024842816778e-16,0.33023534487939615,0.3302353448793961,0.0,82.30000000000001,2.5,0.0,0.0,0.0,82.30000000000001,2.5,0.0,0.0,0.0,False,False,False
13,2511590377,3203569087,0,GaussianSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
14,2274882830,1406550982,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2272698541332733,72.0,14.128354402110967,14.294246726091595,0.05237466005628835,0.1721685574405993,0.059675129592275604,0.03073841311327089,0.09303660203058106,0.036250529102437465,0.041865478292820134,0.17494126050468436,0.053062039837883684,0.1295316995151997,0.07232512895784167,5.581649103773556,5.5816491037735565,0.0,7.887479693779923e-17,2.779024842816778e-16,0.3346845388901207,0.33468453889012073,0.0,69.7,2.299999999999997,0.0,0.0,0.0,69.39999999999999,2.6000000000000014,0.0,0.0,0.0,False,False,False
15,1306523764,2141035876,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14959328893717655,66.9,13.762085100988426,13.87653413744178,0.049017414393460204,0.28696468008056514,0.05620719310467509,0.025773102619427078,0.07701813680240796,0.03225604881429466,0.04058583965349656,0.28629411527442844,0.051088318404273886,0.1528657757684974,0.12647568557230537,5.076508718160929,5.076508718160929,0.0,8.490634623040103e-17,2.7894008272968645e-16,0.22115563982295602,0.22115563982295605,0.0,66.60000000000001,0.29999999999999716,0.0,0.0,0.0,66.60000000000001,0.29999999999999716,0.0,0.0,0.0,False,False,False
16,1010042146,3658271060,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2020153240211465,62.800000000000004,13.09991024759113,13.224511485496997,0.05093749575933464,0.1369117990509171,0.057271979618874855,0.02414211311004395,0.08365441280298826,0.030638021976012723,0.0391994730745192,0.1663582137559058,0.05041614854264234,0.12457377888274196,0.11024943009963462,4.898193696588267,4.898193696588267,0.0,8.778011667723851e-17,2.3263411494723067e-16,0.24705305722724763,0.2470530572272476,0.0,62.300000000000004,0.5,0.0,0.0,0.0,62.6,0.1999999999999993,0.0,0.0,0.0,False,False,False
17,2786688297,2335196008,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19454135219860264,85.80000000000001,17.184880655516395,17.410254689511923,0.05300440732576863,0.21463806415724865,0.05972482829056803,0.031240119708678845,0.11535762175169051,0.040726991089368995,0.04537705409509022,0.20346445379589945,0.05800358027832926,0.13969745865877112,0.08369016525236717,6.855252634297132,6.855252634297132,0.0,8.169551586076547e-17,2.5018537765542007e-16,0.2814986957499769,0.2814986957499769,0.0,85.80000000000001,0.0,0.0,0.0,0.0,85.80000000000001,0.0,0.0,0.0,0.0,False,False,False
18,3018799164,2492545633,0,GaussianSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
19,102116917,2305910465,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.17318477717274647,77.2,14.859333881928553,15.042558435004372,0.05167000073566116,0.2186896035703056,0.05801886430504064,0.022863777753944513,0.09032715134354666,0.02930357238464931,0.04214246282235363,0.2186896035703056,0.052171445712404604,0.11981040575024174,0.10800416626203779,6.151106665575947,6.151106665575947,0.0,7.837137909629153e-17,2.7755575615628914e-16,0.28130204868663844,0.2813020486866385,0.0,75.6,1.6000000000000014,0.0,0.0,0.0,75.39999999999999,1.8000000000000043,0.0,0.0,0.0,False,False,False
20,3818948148,4038365003,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20315127953654066,74.5,14.877161534402783,15.082512929019515,0.05084629721901738,0.16194452914290697,0.0576768886611809,0.03654760260565725,0.13069932941938234,0.04786056818958639,0.04573727286284073,0.21277069294776396,0.057594671106757686,0.09688025127957131,0.05701039439423283,6.011681989924812,6.011681989924812,0.0,8.053852932986053e-17,2.5589376332604516e-16,0.2925218090550599,0.2925218090550599,0.0,67.0,7.5,0.0,0.0,0.0,66.5,8.0,0.0,0.0,0.0,False,False,False
21,1630693696,702805332,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.22102247902877908,68.5,13.690778984672535,13.886378204557053,0.05190842950101123,0.14433394317967219,0.0583477853082333,0.03015356809465116,0.09466804961663673,0.03651221809644334,0.044557062060889156,0.1703818610519211,0.05469814497747988,0.26093772153722256,0.22890529778201557,5.226813238916234,5.226813238916234,0.0,8.313603444912687e-17,2.776424787817943e-16,0.3420536928015384,0.3420536928015384,0.0,68.3,0.1999999999999993,0.0,0.0,0.0,67.99999999999999,0.5000000000000018,0.0,0.0,0.0,False,False,False
22,3668936892,1048787770,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1913188497266276,82.4,16.082783097482256,16.2302663547148,0.05155611334979589,0.1863351484179322,0.05810248672503406,0.02609690327341098,0.10295927915733483,0.03398947607403131,0.04397863369431979,0.17759178981407464,0.05424035456802772,0.26630034353565685,0.22723478266360253,6.36635370127486,6.36635370127486,0.0,7.609756693276094e-17,2.776424787817943e-16,0.2806881500519691,0.28068815005196907,0.0,73.8,8.600000000000009,0.0,0.0,0.0,73.00000000000001,9.399999999999991,0.0,0.0,0.0,False,False,False
23,3826687389,3806095897,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2059952561296733,68.0,13.914760782462494,14.082981755132565,0.05339371617228433,0.18233479495519408,0.06060024762705228,0.029960456623155475,0.11923305492194879,0.03852440781058307,0.04595452030311478,0.18889521942324528,0.05764507338237161,0.1551322640077761,0.061104780576754725,5.641136442899757,5.641136442899757,0.0,8.437959213863755e-17,2.7755575615628914e-16,0.2607947672769489,0.26079476727694895,0.0,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,False,False,False
24,173106281,2255675188,0,GaussianSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
25,1785024439,1397878296,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2093655341611272,60.2,12.787824770112906,12.956356810054947,0.05107756579432406,0.17239114899068259,0.05768123333652141,0.020513414672987448,0.06481428062490044,0.02692313376511948,0.03901536676323447,0.17018229045136896,0.04842373499223228,0.40192322842815853,0.3728607988097588,4.84905497872114,4.84905497872114,0.0,9.261834037324207e-17,1.7772239894833365e-16,0.3116657598929358,0.3116657598929358,0.0,59.50000000000001,0.6999999999999957,0.0,0.0,0.0,59.400000000000006,0.7999999999999972,0.0,0.0,0.0,False,False,False
26,417408578,3621816617,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1672794873883329,70.10000000000001,13.728966433670614,13.87204259476485,0.051091356172325054,0.15175510579386806,0.05780845138550758,0.03267488263156158,0.10011559979925025,0.04230983260293181,0.045494440203070974,0.18956961316972173,0.05742608248386761,0.11616138355744002,0.1508503174945368,5.828773095233984,5.828773095233984,0.0,8.067021387641421e-17,2.498965354837e-16,0.26449397986607764,0.26449397986607764,0.0,69.60000000000001,0.5,0.0,0.0,0.0,69.3,0.7999999999999989,0.0,0.0,0.0,False,False,False
27,3501454577,3222647000,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.22327091322896198,70.0,14.043990577753217,14.285473828211131,0.051784936148918055,0.17656169687837595,0.05790915991681791,0.030080082306875377,0.11010029573716795,0.03965085107247759,0.04179616178648337,0.19903826480569,0.0538323074791607,0.0432504661214678,0.035422690090537175,5.379463034623239,5.379463034623239,0.0,7.946917837112167e-17,2.779024842816778e-16,0.3320105828335876,0.3320105828335876,0.0,69.8,0.1999999999999993,0.0,0.0,0.0,69.5,0.49999999999999645,0.0,0.0,0.0,False,False,False
