trial,environment_seed,sensor_seed,sensor_scenario,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
37,1319351647,2491968560,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.18662594430255344,74.60000000000001,14.69820751372465,14.820637595020301,0.050467128204018066,0.12816701965147,0.05688446125370586,0.02502379400532353,0.08428298965028237,0.031354129147216275,0.04264791262768735,0.17905174872641702,0.053425806942633436,0.4169545291881125,0.32405686325027006,5.561713248402057,5.561713248402057,0.0,7.655058231627418e-17,2.7894008272968645e-16,0.2460609603660691,0.24606096036606917,0.0,74.3,0.30000000000000426,0.0,0.0,0.0,74.2,0.4000000000000057,0.0,0.0,0.0,False,False,False
38,3691409634,1164777248,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16739037422153363,69.3,13.833893943080916,14.01179787603486,0.051107072154057326,0.31286678200970247,0.058115474611983034,0.028835622243173733,0.09171420662289842,0.033881777848273245,0.04225651494388274,0.31174368583814793,0.0528582817561671,0.0803222052051969,0.09205982238586563,5.128899474569614,5.128899474569614,0.0,8.042981799001763e-17,2.498001805406602e-16,0.25596967495448747,0.2559696749544874,0.0,69.3,0.0,0.0,0.0,0.0,69.3,0.0,0.0,0.0,0.0,False,False,False
39,2019551978,3535634490,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14386275039931104,79.5,14.767114194485321,14.781543470465127,0.05002555031097466,0.1874706238181724,0.05672577279261155,0.029525988767741113,0.1002465208202068,0.03667507576698943,0.04062364735403746,0.1874706238181724,0.051911016158137424,0.13110385201003757,0.13016603380800174,6.0269615222214465,6.0269615222214465,0.0,7.539234999984106e-17,2.1138016631127878e-16,0.3803122248599371,0.3803122248599371,0.0,69.30000000000001,10.199999999999989,0.0,0.0,0.0,68.8,10.699999999999996,0.0,0.0,0.0,False,False,False
40,380776375,3506364199,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.12925453839260995,65.9,13.17007810711357,13.234365292921625,0.053002170324265845,0.13558979369850044,0.05959459754001842,0.022333938025236498,0.09890759796421528,0.030056033420985704,0.0411860968705583,0.17881543193624805,0.05301174024696935,0.06576556680485555,0.0,5.070883817091699,5.070883817091701,0.0,8.735647825940439e-17,1.962615573354719e-16,0.2755339315141431,0.2755339315141431,0.0,65.7,0.1999999999999993,0.0,0.0,0.0,65.0,0.6999999999999993,0.0,0.20000000000000284,0.0,False,False,False
41,1412888935,1851597364,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.13330091270162428,67.4,13.348746673241395,13.4056856013876,0.0519821893809532,0.2542540846242717,0.06003322513458508,0.03783236294385774,0.11173443995398238,0.04575823994530454,0.05007443131073037,0.18925072265087106,0.06197234689372068,0.16580511812561582,0.12053426184824467,5.14955445763249,5.14955445763249,0.0,8.275033954834749e-17,3.0436364816617974e-16,0.32400857903882124,0.32400857903882124,0.0,67.1,0.30000000000000426,0.0,0.0,0.0,66.7,0.6999999999999957,0.0,0.0,0.0,False,False,False
42,2119417179,1770672752,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16677160621194892,72.60000000000001,13.734308201558449,13.900413052774338,0.05419575307553518,0.15991298862969966,0.06115982281859282,0.025786891707674925,0.11683430105295178,0.03343208742647081,0.038926239899305326,0.15991298862969966,0.04879868555912404,0.11995737582752439,0.052625587580476585,5.745698694850869,5.74569869485087,0.0,7.794139480458739e-17,2.498001805406602e-16,0.31569286678471553,0.3156928667847156,0.0,72.60000000000001,0.0,0.0,0.0,0.0,72.60000000000001,0.0,0.0,0.0,0.0,False,False,False
43,1493218817,2033698377,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20454521220440475,63.1,13.442747014007988,13.669673507308367,0.05137467217803261,0.13524753221243568,0.057727131919661445,0.027127672110661583,0.07539432696034556,0.03373751203345694,0.039888555695552524,0.14247217126211062,0.048574232154267344,0.08154333774969495,0.04893782196484376,5.07608024090209,5.07608024090209,0.0,8.95797900143695e-17,2.7894008272968645e-16,0.3526847667840177,0.3526847667840177,0.0,63.1,0.0,0.0,0.0,0.0,63.1,0.0,0.0,0.0,0.0,False,False,False
44,177673525,4011898195,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14789229538092935,76.9,14.826334438924786,14.825890603316541,0.051661286979932046,0.2127256149916031,0.058554895036598345,0.036550438123292485,0.11365241443253815,0.04444037080751573,0.04216373388631828,0.2032362419464836,0.05250234776049267,0.14884397869731525,0.09953704077027146,5.80830303038052,5.80830303038052,0.0,7.386466232793771e-17,1.7772239894833365e-16,0.22818243561822288,0.2281824356182228,0.0,75.3,1.6000000000000005,0.0,0.0,0.0,75.7,1.1999999999999993,0.0,0.0,0.0,False,False,False
45,2089176022,1565317651,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2070112148206462,71.8,13.650603824741983,13.821111257541144,0.05196031307172827,0.20127588380866498,0.059222437106597504,0.027049176184154058,0.0870943186398795,0.033776180601086225,0.04247434836462287,0.15713053867741883,0.05258691364640108,0.11317822085981993,0.03822600384208796,5.575115990888682,5.575115990888682,0.0,7.707954837041541e-17,2.498965354837e-16,0.28587000139283314,0.2858700013928331,0.0,61.0,10.799999999999995,0.0,0.0,0.0,61.099999999999994,10.700000000000003,0.0,0.0,0.0,False,False,False
46,2052006839,3289410092,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2439781150550448,67.4,13.14775346711875,13.33979389452804,0.05130565550756506,0.1709599124919851,0.0583369769490743,0.024579663142201707,0.07503618564826926,0.028941240130407244,0.04185769546266798,0.1682580356913611,0.052922100548983844,0.4133347235805733,0.3426454425184897,5.016715989781397,5.016715989781396,0.0,8.624086310671808e-17,1.962615573354719e-16,0.2516698690340805,0.25166986903408056,0.0,67.0,0.40000000000000213,0.0,0.0,0.0,66.2,1.2000000000000046,0.0,0.0,0.0,False,False,False
47,2090124218,957135700,0,GaussianSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
48,3219350817,2787950316,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.23655266875758352,66.4,14.256749143823859,14.419100443531395,0.05142142855677549,0.17238978874050057,0.057996408738839156,0.02332178214065005,0.09648947490342745,0.030166805244428593,0.03946625006305216,0.15948995098490465,0.0499354593938072,0.16136551795547857,0.1592660884788984,5.617716589323749,5.617716589323749,0.0,8.655142469311341e-17,2.776424787817943e-16,0.2836704087707465,0.2836704087707465,0.0,66.4,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,0.0,False,False,False
49,2435762147,1928486681,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19280011056982646,86.4,17.576707166097997,17.690304837370945,0.05181686346130991,0.15092608352900214,0.05837789896182828,0.02858738787373277,0.1268529909576932,0.03676745488342035,0.0405331913504467,0.15901476073802837,0.05086169431083476,0.08378801370431661,0.08653681884513986,6.9658054269059315,6.9658054269059315,0.0,8.114430497947916e-17,2.7809732887839817e-16,0.311492358151652,0.311492358151652,0.0,82.80000000000001,3.5999999999999948,0.0,0.0,0.0,82.0,4.399999999999998,0.0,0.0,0.0,False,False,False
