trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
145,1561310123,3203553205,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.21796618995611955,68.2,13.422923603581392,13.501858744543139,0.05841655572405356,0.15468578919834847,0.06458813174690525,0.033866669207965265,0.09563936931692998,0.040332700678339245,0.04935159441100739,0.17492443692621976,0.061148483102146434,0.40562964471917695,0.3660718349339085,5.741122868245362,5.7411228682453626,0.0,8.280739545435846e-17,2.7833528704240246e-16,0.29691344071377207,0.29691344071377207,0.3689604685212299,67.6,0.5999999999999979,0.0,0.0,0.0,67.3,0.9000000000000021,0.0,0.0,0.0,False,False,False
146,4272674245,4092905196,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2523853504464825,74.5,14.493334995055013,14.626177285308074,0.05782592413886052,0.15625654447264956,0.06555963598485051,0.038554241639794026,0.12782454716066924,0.04681863142830846,0.04656677320047782,0.17708433010271202,0.05836534460476724,0.14577366019132612,0.12229759829347808,6.067890366748914,6.067890366748914,0.0,8.336630230824291e-17,2.779024842816778e-16,0.2957570005625205,0.29575700056252047,0.3632707774798928,65.2,9.299999999999995,0.0,0.0,0.0,65.0,9.500000000000002,0.0,0.0,0.0,False,False,False
147,3804410766,43637163,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20692579192192376,74.10000000000001,14.923276338132286,14.981931443119555,0.059779141994594776,0.20529838466899458,0.0675167194288011,0.03601162583506045,0.12663650685968447,0.04735650503600362,0.04956643108683081,0.2239105831385361,0.0639390635693836,0.17771401710993692,0.1474170817562809,6.1307957594592555,6.1307957594592555,0.0,8.023712512233517e-17,2.779024842816778e-16,0.4023272899435678,0.4023272899435678,0.42452830188679247,74.10000000000001,0.0,0.0,0.0,0.0,74.10000000000001,0.0,0.0,0.0,0.0,False,False,False
148,2942001979,3949632329,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.13348579201233235,69.2,13.746750603056356,13.737689014914249,0.06284585919035142,0.7071067811865476,0.07527027036674953,0.03740130917961162,0.1281152847844172,0.046741335894639524,0.05165391636946133,0.7071067811865476,0.06695054245419071,0.2049936487120888,0.05,5.460541456184867,5.460541456184867,0.0,8.16182340241975e-17,2.498001805406602e-16,0.3535533905932738,0.3535533905932738,0.36796536796536794,67.2,2.0,0.0,0.0,0.0,66.5,2.700000000000001,0.0,0.0,0.0,False,False,False
149,2622422237,3948635486,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.24947729850169156,72.9,15.147669556066893,15.329894026864505,0.06418584479423439,0.31472099986498103,0.0742107384642079,0.0322827907146116,0.12333764550853069,0.04317464806829669,0.049294130525182264,0.31503487189835383,0.06516817600953917,0.13845856458308697,0.09457156701162622,6.412250638887834,6.412250638887835,0.0,8.125933510511593e-17,2.5133742693021536e-16,0.2734359516934092,0.2734359516934092,0.4013698630136986,71.9,1.0,0.0,0.0,0.0,72.1,0.8000000000000043,0.0,0.0,0.0,False,False,False
150,4292375466,970091554,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.17492887019038134,68.10000000000001,13.583853807785985,13.68933261415397,0.061585470748674404,0.1936544945912093,0.07020000142480631,0.04612442967231765,0.16560542345892376,0.05846795266029287,0.057376181035209646,0.252682493465206,0.07238178014193096,0.13218925281512164,0.08324371940516591,5.669466096199236,5.669466096199237,0.0,8.477421729725735e-17,2.7894008272968645e-16,0.3479629239803019,0.3479629239803019,0.37683284457478006,68.10000000000001,0.0,0.0,0.0,0.0,67.8,0.30000000000000115,0.0,0.0,0.0,False,False,False
151,2339108289,80255215,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2555012945433116,61.300000000000004,13.00368167986001,13.149067255084676,0.059773256597002236,0.16952973370034455,0.06729146870731532,0.03220161330059523,0.1661193030468433,0.047396251538930796,0.0487894508257755,0.25544840487970805,0.06282828640279163,0.1763687852259929,0.16652003244881772,5.169993916844876,5.169993916844877,0.0,9.02247099256691e-17,2.5589376332604516e-16,0.30109401587044626,0.3010940158704463,0.42182410423452765,58.50000000000001,2.799999999999997,0.0,0.0,0.0,58.800000000000004,2.5,0.0,0.0,0.0,False,False,False
152,2242091718,2669274835,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.22157531791185137,61.300000000000004,12.949514746505631,13.131734143244287,0.052214858441766134,0.20746863722781955,0.06004457963538436,0.03726306199826334,0.0897682306529763,0.0432875840312408,0.048597987166816195,0.2054958812434933,0.05879209016055714,0.17017841220418492,0.13383619351038334,5.083202011315641,5.083202011315641,0.0,9.003319523934768e-17,1.8670653977139892e-16,0.29557980671672307,0.29557980671672307,0.37133550488599354,55.1,6.200000000000003,0.0,0.0,0.0,54.900000000000006,6.399999999999999,0.0,0.0,0.0,False,False,False
153,3577544150,221483861,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.30555485205806765,78.9,15.04511236798887,15.175521467341971,0.06340592331319375,0.7071067811865476,0.07499485160434467,0.040109726014886916,0.12072488595518752,0.04738095792792018,0.052052087166742034,0.7071067811865476,0.07075553418496229,0.15121190728245915,0.05,6.316095375803683,6.316095375803683,0.0,7.739655095611363e-17,2.797157557069881e-16,0.3535533905932738,0.3535533905932738,0.4037974683544304,78.9,0.0,0.0,0.0,0.0,78.9,0.0,0.0,0.0,0.0,False,False,False
154,667072100,1207010422,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19174726294123126,75.0,14.236561395880823,14.245359295411898,0.05673049838312312,0.16852508930952087,0.06496122775067696,0.037696277112720784,0.1290337265128514,0.04594497173774447,0.050094730420454876,0.19426191020951583,0.06159295683449262,0.11377082182706647,0.008667816836175568,6.059921707988455,6.0599217079884555,0.0,7.802707115715768e-17,1.8670653977139892e-16,0.3526418784470913,0.3526418784470913,0.3781624500665779,69.2,5.799999999999997,0.0,0.0,0.0,68.5,6.5,0.0,0.0,0.0,False,False,False
